,names,authors,ratings,u_date
79,Danganronpa V177013 WOAH SO MUCH DESPAIR 😩,MelodyPearl,Not Rated,19 Jun 2023
80,Day 18: Daisies,CrusadingDoomguy,General Audiences,18 Jun 2023
81,Puella Magi Side Story: Classic Records,AmazingAroAce,Not Rated,18 Jun 2023
82,Cross walks and crossed hearts and hope to die/Silver clouds with grey linings (hopefully a temp. title),Qwertyful,Teen And Up Audiences,18 Jun 2023
83,Unforgiven Wishes,Yvonne (connect_the_stars),Mature,18 Jun 2023
84,feedback,Umbreix,Mature,17 Jun 2023
85,A Single Moment,Exotos135,Teen And Up Audiences,17 Jun 2023
86,Kwami Magi Homura Magica Abridged,ArialView,Teen And Up Audiences,16 Jun 2023
87,Plan 47,rubylily,Teen And Up Audiences,16 Jun 2023
88,Where She Calls Home,Reicakes,General Audiences,16 Jun 2023
89,The Great Crossover Story 2,promptedtomyrevenge,General Audiences,16 Jun 2023
90,Your fears always catch up with you,Disructor,General Audiences,15 Jun 2023
91,Hunter,B3nny_St4r,Mature,15 Jun 2023
92,Madoka and Homura work at Freddy Fazbear’s Pizzaria,thisissparta789789,Teen And Up Audiences,14 Jun 2023
93,Utopia,Exotos135,General Audiences,14 Jun 2023
94,The Seers,SwordofMars,Mature,13 Jun 2023
95,Renatus Pythonissam Sakura Magica,Crossoverpairinglover,Teen And Up Audiences,13 Jun 2023
96,Only An Unconvincing Facsimile,streetie,Teen And Up Audiences,13 Jun 2023
97,The Soulmate Timeline,sillydove,General Audiences,12 Jun 2023
98,Strawberry Fields Forever,Speedanon,Not Rated,12 Jun 2023
99,— aconitum,BrightStar1248,Teen And Up Audiences,12 Jun 2023
100,KonoNana Drabbles,Co-Writing_Rabbit (AggresivleyRabbit),General Audiences,12 Jun 2023
101,An amalgamation of fandoms (Aru is love yum Yuno badd),Mado25,General Audiences,11 Jun 2023
102,Shut up,MsFaust,Not Rated,11 Jun 2023
103,Bound By the Ribbon of Fate,PissAnon,Teen And Up Audiences,11 Jun 2023
104,Ikumi's Bad Day at Work (written by Ai-chan),WitheringWisteria,General Audiences,11 Jun 2023
105,from the bitter cold unveils shimmering gold,Rayray444,Not Rated,10 Jun 2023
106,"My dearest, Sayaka",Rayray444,Teen And Up Audiences,09 Jun 2023
107,You’re mine,junkohenoshi,Teen And Up Audiences,09 Jun 2023
108,Showered In Affection,Crossoverpairinglover,Mature,09 Jun 2023
109,Kwami Magi Homura Magica,Exotos135,Teen And Up Audiences,08 Jun 2023
110,Mami Makes Toast,Sophie_Rosewell,General Audiences,07 Jun 2023
111,Some Surprises sweep you off your feet,junkohenoshi,Teen And Up Audiences,07 Jun 2023
112,Puer Magus: Life in Another World,Unicorn_alien_staccato,Mature,06 Jun 2023
113,"Fragile, handle with care",UchihaHaru,Teen And Up Audiences,06 Jun 2023
114,【红黑】特异点,De12now,Mature,05 Jun 2023
115,Dragon Ball Z:Magica- Homura Sister of Vegeta,Fremde,Explicit,05 Jun 2023
116,Timeloop Number 75,pip_com,Mature,04 Jun 2023
117,Hope's Bloom (and the Thorns of Despair),WriterRambles,Not Rated,04 Jun 2023
118,Her Seven Deadly Sins,SirnaTheBestRace,Teen And Up Audiences,03 Jun 2023
119,Tuning Twisted Strings,kaliea56,General Audiences,03 Jun 2023
120,The Ordinary Life of Saiki Kusuo,Mockwater,Teen And Up Audiences,03 Jun 2023
121,Without You This Loop Is,Stellarete,Teen And Up Audiences,02 Jun 2023
122,Two,AKIIIIIIIIIIIIII,Teen And Up Audiences,03 Jun 2023
123,A magical being?,Polyglyph,Not Rated,02 Jun 2023
124,Uncertainty Propagation,MagicalDogToto,Teen And Up Audiences,02 Jun 2023
125,Parallel Worlds Record,strwbrryseeds (clownkirishima),Teen And Up Audiences,02 Jun 2023
126,"please, please (let me get what i want this time)",Exotos135,Not Rated,02 Jun 2023
